"","sample_id","condition"
"1","SRR4240812","Normal"
"2","SRR4240815","Normal"
"3","SRR4240816","Normal"
"4","SRR4240817","Normal"
"5","SRR4240818","Normal"
"6","SRR4240823","DM1"
"7","SRR4240824","DM1"
"8","SRR4240825","DM1"
"9","SRR4240827","DM1"
"10","SRR4240829","DM1"
"11","SRR4240834","DM1"
"12","SRR4240835","DM1"
"13","SRR4240836","DM1"
"14","SRR4240837","DM1"
"15","SRR4240841","DM1"
"16","SRR4240842","DM1"
"17","SRR4240845","DM1"
"18","SRR4240847","DM1"
"19","SRR4240850","DM1"
"20","SRR4240852","DM1"
"21","SRR4240853","DM1"
"22","SRR4240854","DM1"
"23","SRR4240855","DM1"
"24","SRR4240857","DM1"
"25","SRR4240858","DM1"
"26","SRR4240860","DM1"
"27","SRR4240861","DM1"
"28","SRR4240863","DM1"
"29","SRR4240864","DM1"
"30","SRR4240865","DM1"
