"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr"
"1","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0,0
"2","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.01,0.545917285259809
"3","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.02,0.573712737127371
"4","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.03,0.582798459563543
"5","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.04,0.596070460704607
"6","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.05,0.601552106430155
"7","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.06,0.607317073170732
"8","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.07,0.610975609756098
"9","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.08,0.616724738675958
"10","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.09,0.617073170731707
"11","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.1,0.620325203252033
"12","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.11,0.621951219512195
"13","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.12,0.621951219512195
"14","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.13,0.622822299651568
"15","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.14,0.624390243902439
"16","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.15,0.624390243902439
"17","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.16,0.625435540069686
"18","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.17,0.625435540069686
"19","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.18,0.629268292682927
"20","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.19,0.629268292682927
"21","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.2,0.629268292682927
"22","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.21,0.629268292682927
"23","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.22,0.629268292682927
"24","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.23,0.629268292682927
"25","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.24,0.631707317073171
"26","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.25,0.631707317073171
"27","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.26,0.631707317073171
"28","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.27,0.631707317073171
"29","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.28,0.631707317073171
"30","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.29,0.631707317073171
"31","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.3,0.631707317073171
"32","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.31,0.631707317073171
"33","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.32,0.631707317073171
"34","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.33,0.634146341463415
"35","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.34,0.634146341463415
"36","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.35,0.634146341463415
"37","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.36,0.634146341463415
"38","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.37,0.634146341463415
"39","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.38,0.634146341463415
"40","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.39,0.634146341463415
"41","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.4,0.634146341463415
"42","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.41,0.634146341463415
"43","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.42,0.634146341463415
"44","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.43,0.634146341463415
"45","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.44,0.634146341463415
"46","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.45,0.634146341463415
"47","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.46,0.634146341463415
"48","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.47,0.634146341463415
"49","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.48,0.634146341463415
"50","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.49,0.634146341463415
"51","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.5,0.634146341463415
"52","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.51,0.634146341463415
"53","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.52,0.634146341463415
"54","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.53,0.634146341463415
"55","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.54,0.634146341463415
"56","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.55,0.634146341463415
"57","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.56,0.634146341463415
"58","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.57,0.634146341463415
"59","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.58,0.634146341463415
"60","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.59,0.634146341463415
"61","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.6,0.634146341463415
"62","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.61,0.634146341463415
"63","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.62,0.634146341463415
"64","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.63,0.634146341463415
"65","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.64,0.634146341463415
"66","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.65,0.634146341463415
"67","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.66,0.634146341463415
"68","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.67,0.634146341463415
"69","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.68,0.634146341463415
"70","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.69,0.634146341463415
"71","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.7,0.634146341463415
"72","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.71,0.634146341463415
"73","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.72,0.634146341463415
"74","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.73,0.634146341463415
"75","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.74,0.634146341463415
"76","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.75,0.634146341463415
"77","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.76,0.634146341463415
"78","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.77,0.634146341463415
