"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr","se"
"1","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0,0,NA
"2","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.01,0.545917285259809,NA
"3","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.02,0.573712737127371,NA
"4","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.03,0.582798459563543,NA
"5","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.04,0.596070460704607,NA
"6","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.05,0.601552106430155,NA
"7","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.06,0.607317073170732,NA
"8","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.07,0.610975609756098,NA
"9","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.08,0.616724738675958,NA
"10","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.09,0.617073170731707,NA
"11","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.1,0.620325203252033,NA
"12","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.11,0.621951219512195,NA
"13","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.12,0.621951219512195,NA
"14","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.13,0.622822299651568,NA
"15","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.14,0.624390243902439,NA
"16","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.15,0.624390243902439,NA
"17","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.16,0.625435540069686,NA
"18","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.17,0.625435540069686,NA
"19","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.18,0.629268292682927,NA
"20","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.19,0.629268292682927,NA
"21","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.2,0.629268292682927,NA
"22","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.21,0.629268292682927,NA
"23","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.22,0.629268292682927,NA
"24","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.23,0.629268292682927,NA
"25","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.24,0.631707317073171,NA
"26","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.25,0.631707317073171,NA
"27","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.26,0.631707317073171,NA
"28","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.27,0.631707317073171,NA
"29","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.28,0.631707317073171,NA
"30","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.29,0.631707317073171,NA
"31","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.3,0.631707317073171,NA
"32","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.31,0.631707317073171,NA
"33","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.32,0.631707317073171,NA
"34","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.33,0.634146341463415,NA
"35","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.34,0.634146341463415,NA
"36","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.35,0.634146341463415,NA
"37","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.36,0.634146341463415,NA
"38","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.37,0.634146341463415,NA
"39","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.38,0.634146341463415,NA
"40","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.39,0.634146341463415,NA
"41","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.4,0.634146341463415,NA
"42","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.41,0.634146341463415,NA
"43","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.42,0.634146341463415,NA
"44","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.43,0.634146341463415,NA
"45","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.44,0.634146341463415,NA
"46","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.45,0.634146341463415,NA
"47","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.46,0.634146341463415,NA
"48","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.47,0.634146341463415,NA
"49","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.48,0.634146341463415,NA
"50","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.49,0.634146341463415,NA
"51","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.5,0.634146341463415,NA
"52","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.51,0.634146341463415,NA
"53","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.52,0.634146341463415,NA
"54","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.53,0.634146341463415,NA
"55","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.54,0.634146341463415,NA
"56","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.55,0.634146341463415,NA
"57","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.56,0.634146341463415,NA
"58","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.57,0.634146341463415,NA
"59","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.58,0.634146341463415,NA
"60","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.59,0.634146341463415,NA
"61","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.6,0.634146341463415,NA
