"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr"
"1",NA,"GLMM","5"," 1","0.1","1.5",0,0
"2",NA,"GLMM","5"," 1","0.1","1.5",0.01,0.984363354037267
"3",NA,"GLMM","5"," 1","0.1","1.5",0.02,0.991767233661594
"4",NA,"GLMM","5"," 1","0.1","1.5",0.03,0.995092651757189
"5",NA,"GLMM","5"," 1","0.1","1.5",0.04,0.996062360801782
"6",NA,"GLMM","5"," 1","0.1","1.5",0.05,0.996865671641791
"7",NA,"GLMM","5"," 1","0.1","1.5",0.06,0.9974327563249
"8",NA,"GLMM","5"," 1","0.1","1.5",0.07,0.99780854197349
"9",NA,"GLMM","5"," 1","0.1","1.5",0.08,0.99803300330033
"10",NA,"GLMM","5"," 1","0.1","1.5",0.09,0.998392344497608
"11",NA,"GLMM","5"," 1","0.1","1.5",0.1,0.998612345679012
"12",NA,"GLMM","5"," 1","0.1","1.5",0.11,0.998928270042194
"13",NA,"GLMM","5"," 1","0.1","1.5",0.12,0.998375
"14",NA,"GLMM","5"," 1","0.1","1.5",0.13,0.998
"15",NA,"GLMM","5"," 1","0.1","1.5",0.14,0.998
"16",NA,"GLMM","5"," 1","0.1","1.5",0.15,0.998
"17",NA,"GLMM","5"," 1","0.1","1.5",0.16,0.998
"18",NA,"GLMM","5"," 1","0.1","1.5",0.17,0.998
"19",NA,"GLMM","5"," 1","0.1","1.5",0.18,0.998
"20",NA,"GLMM","5"," 1","0.1","1.5",0.19,0.998
"21",NA,"GLMM","5"," 1","0.1","1.5",0.2,0.998
"22",NA,"GLMM","5"," 1","0.1","1.5",0.21,0.998
"23",NA,"GLMM","5"," 1","0.1","1.5",0.22,0.998
"24",NA,"GLMM","5"," 1","0.1","1.5",0.23,0.998
"25",NA,"GLMM","5"," 1","0.1","1.5",0.24,0.998
"26",NA,"GLMM","5"," 1","0.1","1.5",0.25,0.998
"27",NA,"GLMM","5"," 1","0.1","1.5",0.26,0.998
"28",NA,"GLMM","5"," 1","0.1","1.5",0.27,0.998
"29",NA,"GLMM","5"," 1","0.1","1.5",0.28,0.998
"30",NA,"GLMM","5"," 1","0.1","1.5",0.29,0.998
"31",NA,"GLMM","5"," 1","0.1","1.5",0.3,0.998
"32",NA,"GLMM","5"," 1","0.1","1.5",0.31,0.998
"33",NA,"GLMM","5"," 1","0.1","1.5",0.32,0.998
"34",NA,"GLMM","5"," 1","0.1","1.5",0.33,0.998
"35",NA,"GLMM","5"," 1","0.1","1.5",0.34,0.998
"36",NA,"GLMM","5"," 1","0.1","1.5",0.35,0.998
"37",NA,"GLMM","5"," 1","0.1","1.5",0.36,0.998
"38",NA,"GLMM","5"," 1","0.1","1.5",0.37,0.998
"39",NA,"GLMM","5"," 1","0.1","1.5",0.38,0.998
"40",NA,"GLMM","5"," 1","0.1","1.5",0.39,0.998
"41",NA,"GLMM","5"," 1","0.1","1.5",0.4,0.998
"42",NA,"GLMM","5"," 1","0.1","1.5",0.41,0.998
"43",NA,"GLMM","5"," 1","0.1","1.5",0.42,0.998
"44",NA,"GLMM","5"," 1","0.1","1.5",0.43,0.998
"45",NA,"GLMM","5"," 1","0.1","1.5",0.44,0.998
"46",NA,"GLMM","5"," 1","0.1","1.5",0.45,0.998
"47",NA,"GLMM","5"," 1","0.1","1.5",0.46,0.998
"48",NA,"GLMM","5"," 1","0.1","1.5",0.47,0.998
"49",NA,"GLMM","5"," 1","0.1","1.5",0.48,0.998
"50",NA,"GLMM","5"," 1","0.1","1.5",0.49,0.998
"51",NA,"GLMM","5"," 1","0.1","1.5",0.5,0.998
"52",NA,"GLMM","5"," 1","0.1","1.5",0.51,0.998
"53",NA,"GLMM","5"," 1","0.1","1.5",0.52,0.998
"54",NA,"GLMM","5"," 1","0.1","1.5",0.53,0.998
"55",NA,"GLMM","5"," 1","0.1","1.5",0.54,0.998
"56",NA,"GLMM","5"," 1","0.1","1.5",0.55,0.998
"57",NA,"GLMM","5"," 1","0.1","1.5",0.56,0.998
"58",NA,"GLMM","5"," 1","0.1","1.5",0.57,0.998
"59",NA,"GLMM","5"," 1","0.1","1.5",0.58,0.998
"60",NA,"GLMM","5"," 1","0.1","1.5",0.59,0.998
"61",NA,"GLMM","5"," 1","0.1","1.5",0.6,0.998
"62",NA,"GLMM","5"," 1","0.1","1.5",0.61,0.998
"63",NA,"GLMM","5"," 1","0.1","1.5",0.62,0.998
"64",NA,"GLMM","5"," 1","0.1","1.5",0.63,0.998
"65",NA,"GLMM","5"," 1","0.1","1.5",0.64,0.998
"66",NA,"GLMM","5"," 1","0.1","1.5",0.65,0.998
"67",NA,"GLMM","5"," 1","0.1","1.5",0.66,0.998
"68",NA,"GLMM","5"," 1","0.1","1.5",0.67,0.998
"69",NA,"GLMM","5"," 1","0.1","1.5",0.68,0.998
"70",NA,"GLMM","5"," 1","0.1","1.5",0.69,0.998
"71",NA,"GLMM","5"," 1","0.1","1.5",0.7,0.998
"72",NA,"GLMM","5"," 1","0.1","1.5",0.71,0.998
"73",NA,"GLMM","5"," 1","0.1","1.5",0.72,0.998
"74",NA,"GLMM","5"," 1","0.1","1.5",0.73,0.998
"75",NA,"GLMM","5"," 1","0.1","1.5",0.74,0.998
"76",NA,"GLMM","5"," 1","0.1","1.5",0.75,0.998
"77",NA,"GLMM","5"," 1","0.1","1.5",0.76,0.998
"78",NA,"GLMM","5"," 1","0.1","1.5",0.77,0.998
"79",NA,"GLMM","5"," 1","0.1","1.5",0.78,0.998
"80",NA,"GLMM","5"," 1","0.1","1.5",0.79,0.998
"81",NA,"GLMM","5"," 1","0.1","1.5",0.8,0.998
"82",NA,"GLMM","5"," 1","0.1","1.5",0.81,0.998
"83",NA,"GLMM","5"," 1","0.1","1.5",0.82,0.998
"84",NA,"GLMM","5"," 1","0.1","1.5",0.83,0.998
"85",NA,"GLMM","5"," 1","0.1","1.5",0.84,0.998
"86",NA,"GLMM","5"," 1","0.1","1.5",0.85,0.998
"87",NA,"GLMM","5"," 1","0.1","1.5",0.86,0.998
"88",NA,"GLMM","5"," 1","0.1","1.5",0.87,0.998
"89",NA,"GLMM","5"," 1","0.1","1.5",0.88,0.998
"90",NA,"GLMM","5"," 1","0.1","1.5",0.89,0.998
"91",NA,"GLMM","5"," 1","0.1","1.5",0.9,0.998
"92",NA,"GLMM","5"," 1","0.1","1.5",0.91,0.998
"93",NA,"GLMM","5"," 1","0.1","1.5",0.92,0.998
"94",NA,"GLMM","5"," 1","0.1","1.5",0.93,0.998
"95",NA,"GLMM","5"," 1","0.1","1.5",0.94,0.998
"96",NA,"GLMM","5"," 1","0.1","1.5",0.95,0.998
"97",NA,"GLMM","5"," 1","0.1","1.5",0.96,0.998
"98",NA,"GLMM","5"," 1","0.1","1.5",0.97,0.998
"99",NA,"GLMM","5"," 1","0.1","1.5",0.98,0.998
"100",NA,"GLMM","5"," 1","0.1","1.5",0.99,0.998
"101",NA,"GLMM","5"," 1","0.1","1.5",1,1
"102",NA,"GLMM","5"," 2","0.1","1.5",0,0
"103",NA,"GLMM","5"," 2","0.1","1.5",0.01,0.984363354037267
"104",NA,"GLMM","5"," 2","0.1","1.5",0.02,0.991767233661594
"105",NA,"GLMM","5"," 2","0.1","1.5",0.03,0.995092651757189
"106",NA,"GLMM","5"," 2","0.1","1.5",0.04,0.996062360801782
"107",NA,"GLMM","5"," 2","0.1","1.5",0.05,0.996865671641791
"108",NA,"GLMM","5"," 2","0.1","1.5",0.06,0.9974327563249
"109",NA,"GLMM","5"," 2","0.1","1.5",0.07,0.99780854197349
"110",NA,"GLMM","5"," 2","0.1","1.5",0.08,0.99803300330033
"111",NA,"GLMM","5"," 2","0.1","1.5",0.09,0.998392344497608
"112",NA,"GLMM","5"," 2","0.1","1.5",0.1,0.998612345679012
"113",NA,"GLMM","5"," 2","0.1","1.5",0.11,0.998928270042194
"114",NA,"GLMM","5"," 2","0.1","1.5",0.12,0.998375
"115",NA,"GLMM","5"," 2","0.1","1.5",0.13,0.998
"116",NA,"GLMM","5"," 2","0.1","1.5",0.14,0.998
"117",NA,"GLMM","5"," 2","0.1","1.5",0.15,0.998
"118",NA,"GLMM","5"," 2","0.1","1.5",0.16,0.998
"119",NA,"GLMM","5"," 2","0.1","1.5",0.17,0.998
"120",NA,"GLMM","5"," 2","0.1","1.5",0.18,0.998
"121",NA,"GLMM","5"," 2","0.1","1.5",0.19,0.998
"122",NA,"GLMM","5"," 2","0.1","1.5",0.2,0.998
"123",NA,"GLMM","5"," 2","0.1","1.5",0.21,0.998
"124",NA,"GLMM","5"," 2","0.1","1.5",0.22,0.998
"125",NA,"GLMM","5"," 2","0.1","1.5",0.23,0.998
"126",NA,"GLMM","5"," 2","0.1","1.5",0.24,0.998
"127",NA,"GLMM","5"," 2","0.1","1.5",0.25,0.998
"128",NA,"GLMM","5"," 2","0.1","1.5",0.26,0.998
"129",NA,"GLMM","5"," 2","0.1","1.5",0.27,0.998
"130",NA,"GLMM","5"," 2","0.1","1.5",0.28,0.998
"131",NA,"GLMM","5"," 2","0.1","1.5",0.29,0.998
"132",NA,"GLMM","5"," 2","0.1","1.5",0.3,0.998
"133",NA,"GLMM","5"," 2","0.1","1.5",0.31,0.998
"134",NA,"GLMM","5"," 2","0.1","1.5",0.32,0.998
"135",NA,"GLMM","5"," 2","0.1","1.5",0.33,0.998
"136",NA,"GLMM","5"," 2","0.1","1.5",0.34,0.998
