"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr","se"
"1",NA,"GLMM","5"," 1","0.1","1.5",0,0,NA
"2",NA,"GLMM","5"," 1","0.1","1.5",0.01,0.984363354037267,NA
"3",NA,"GLMM","5"," 1","0.1","1.5",0.02,0.991767233661594,NA
"4",NA,"GLMM","5"," 1","0.1","1.5",0.03,0.995092651757189,NA
"5",NA,"GLMM","5"," 1","0.1","1.5",0.04,0.996062360801782,NA
"6",NA,"GLMM","5"," 1","0.1","1.5",0.05,0.996865671641791,NA
"7",NA,"GLMM","5"," 1","0.1","1.5",0.06,0.9974327563249,NA
"8",NA,"GLMM","5"," 1","0.1","1.5",0.07,0.99780854197349,NA
"9",NA,"GLMM","5"," 1","0.1","1.5",0.08,0.99803300330033,NA
"10",NA,"GLMM","5"," 1","0.1","1.5",0.09,0.998392344497608,NA
"11",NA,"GLMM","5"," 1","0.1","1.5",0.1,0.998612345679012,NA
"12",NA,"GLMM","5"," 1","0.1","1.5",0.11,0.998928270042194,NA
"13",NA,"GLMM","5"," 1","0.1","1.5",0.12,0.998375,NA
"14",NA,"GLMM","5"," 1","0.1","1.5",0.13,0.998,NA
"15",NA,"GLMM","5"," 1","0.1","1.5",0.14,0.998,NA
"16",NA,"GLMM","5"," 1","0.1","1.5",0.15,0.998,NA
"17",NA,"GLMM","5"," 1","0.1","1.5",0.16,0.998,NA
"18",NA,"GLMM","5"," 1","0.1","1.5",0.17,0.998,NA
"19",NA,"GLMM","5"," 1","0.1","1.5",0.18,0.998,NA
"20",NA,"GLMM","5"," 1","0.1","1.5",0.19,0.998,NA
"21",NA,"GLMM","5"," 1","0.1","1.5",0.2,0.998,NA
"22",NA,"GLMM","5"," 1","0.1","1.5",0.21,0.998,NA
"23",NA,"GLMM","5"," 1","0.1","1.5",0.22,0.998,NA
"24",NA,"GLMM","5"," 1","0.1","1.5",0.23,0.998,NA
"25",NA,"GLMM","5"," 1","0.1","1.5",0.24,0.998,NA
"26",NA,"GLMM","5"," 1","0.1","1.5",0.25,0.998,NA
"27",NA,"GLMM","5"," 1","0.1","1.5",0.26,0.998,NA
"28",NA,"GLMM","5"," 1","0.1","1.5",0.27,0.998,NA
"29",NA,"GLMM","5"," 1","0.1","1.5",0.28,0.998,NA
"30",NA,"GLMM","5"," 1","0.1","1.5",0.29,0.998,NA
"31",NA,"GLMM","5"," 1","0.1","1.5",0.3,0.998,NA
"32",NA,"GLMM","5"," 1","0.1","1.5",0.31,0.998,NA
"33",NA,"GLMM","5"," 1","0.1","1.5",0.32,0.998,NA
"34",NA,"GLMM","5"," 1","0.1","1.5",0.33,0.998,NA
"35",NA,"GLMM","5"," 1","0.1","1.5",0.34,0.998,NA
"36",NA,"GLMM","5"," 1","0.1","1.5",0.35,0.998,NA
"37",NA,"GLMM","5"," 1","0.1","1.5",0.36,0.998,NA
"38",NA,"GLMM","5"," 1","0.1","1.5",0.37,0.998,NA
"39",NA,"GLMM","5"," 1","0.1","1.5",0.38,0.998,NA
"40",NA,"GLMM","5"," 1","0.1","1.5",0.39,0.998,NA
"41",NA,"GLMM","5"," 1","0.1","1.5",0.4,0.998,NA
"42",NA,"GLMM","5"," 1","0.1","1.5",0.41,0.998,NA
"43",NA,"GLMM","5"," 1","0.1","1.5",0.42,0.998,NA
"44",NA,"GLMM","5"," 1","0.1","1.5",0.43,0.998,NA
"45",NA,"GLMM","5"," 1","0.1","1.5",0.44,0.998,NA
