"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"1","DESeq2",0.717356085970407,875,875,0.404761904761905,0.995359628770302,0.050761421319797,0.699477371864776," 1","findcirc","NB","5","0.1","1.5","142180635"
"2","voom",0,875,875,0.0708571428571429,0.99988072519084,0.0158730158730159,0.939158192475466," 1","findcirc","NB","5","0.1","1.5","142180635"
"3","edgeR-robust",0,875,875,0.452571428571429,0.994990458015267,0.0958904109589041,0.949916507633586," 1","findcirc","NB","5","0.1","1.5","142180635"
"4","GLMM",0,500,500,0.892,0.999111111111111,0.00888888888888889,0.996896666666667," 1","findcirc","NB","5","0.1","1.5","142180635"
"5","DESeq2",0.697924589807671,858,858,0.456175298804781,0.994293239683933,0.0537190082644628,0.730769579930754," 2","findcirc","NB","5","0.1","1.5","213501363"
"6","voom",0,858,858,0.116550116550117,0.999760335530258,0.0196078431372549,0.941571869313027," 2","findcirc","NB","5","0.1","1.5","213501363"
"7","edgeR-robust",0,858,858,0.455710955710956,0.994727381665668,0.101149425287356,0.950732471044034," 2","findcirc","NB","5","0.1","1.5","213501363"
"8","GLMM",0,500,500,0.832,0.999333333333333,0.00715990453460621,0.994402222222222," 2","findcirc","NB","5","0.1","1.5","213501363"
"9","DESeq2",0.678552075430801,877,877,0.427450980392157,0.995114006514658,0.0521739130434783,0.725101359424822," 3","findcirc","NB","5","0.1","1.5"," 79760414"
"10","voom",0,877,877,0.0672748004561003,1,0,0.929881263698372," 3","findcirc","NB","5","0.1","1.5"," 79760414"
"11","edgeR-robust",0,877,877,0.465222348916762,0.99497005988024,0.0933333333333333,0.940542267801913," 3","findcirc","NB","5","0.1","1.5"," 79760414"
"12","GLMM",0,500,500,0.854,0.998666666666667,0.0138568129330254,0.997493111111111," 3","findcirc","NB","5","0.1","1.5"," 79760414"
"13","DESeq2",0.678540493720225,867,867,0.402298850574713,0.996322026971802,0.0410958904109589,0.737405978536431," 4","findcirc","NB","5","0.1","1.5","256596645"
"14","voom",0,867,867,0.0749711649365629,0.99976102282232,0.0298507462686567,0.936404438139713," 4","findcirc","NB","5","0.1","1.5","256596645"
