"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"1","DESeq2",0.428843710292249,453,453,0.545454545454545,0.995022812111157,0.0714285714285714,0.693444758324943," 1","findcirc","NB","5","0.1","1.5","142180635"
"2","voom",0,453,453,0.282560706401766,0.996252049660342,0.111111111111111,0.853277931098319," 1","findcirc","NB","5","0.1","1.5","142180635"
"3","edgeR-robust",0,453,453,0.355408388520971,0.995549308971656,0.105555555555556,0.858548227712804," 1","findcirc","NB","5","0.1","1.5","142180635"
"4","DESeq2",0.409710391822828,461,461,0.422222222222222,0.992266992266992,0.125,0.725146811382268," 2","findcirc","NB","5","0.1","1.5","213501363"
"5","voom",0,461,461,0.273318872017354,0.995277449822904,0.136986301369863,0.866392294355219," 2","findcirc","NB","5","0.1","1.5","213501363"
"6","edgeR-robust",0,461,461,0.323210412147505,0.994805194805195,0.128654970760234,0.868029564598286," 2","findcirc","NB","5","0.1","1.5","213501363"
"7","DESeq2",0.427957912819412,452,452,0.573248407643312,0.991489361702128,0.1,0.739680426799112," 3","findcirc","NB","5","0.1","1.5"," 79760414"
"8","voom",0,452,452,0.309734513274336,0.995481569560048,0.119496855345912,0.867894573463955," 3","findcirc","NB","5","0.1","1.5"," 79760414"
"9","edgeR-robust",0,452,452,0.373893805309735,0.993579072532699,0.137755102040816,0.870108541243569," 3","findcirc","NB","5","0.1","1.5"," 79760414"
"10","DESeq2",0.428087986463621,460,460,0.453703703703704,0.993697478991597,0.0925925925925926,0.746696344892221," 4","findcirc","NB","5","0.1","1.5","256596645"
"11","voom",0,460,460,0.243478260869565,0.996719775070291,0.111111111111111,0.859458915692106," 4","findcirc","NB","5","0.1","1.5","256596645"
"12","edgeR-robust",0,460,460,0.347826086956522,0.996719775070291,0.0804597701149425,0.861892343425289," 4","findcirc","NB","5","0.1","1.5","256596645"
"13","DESeq2",0.466666666666667,448,448,0.52317880794702,0.9935956084172,0.0813953488372093,0.734100282868661," 5","findcirc","NB","5","0.1","1.5","153829761"
"14","voom",0,448,448,0.265625,0.997628645956841,0.0775193798449612,0.865936187286154," 5","findcirc","NB","5","0.1","1.5","153829761"
"15","edgeR-robust",0,448,448,0.354910714285714,0.995731562722314,0.101694915254237,0.875492003031943," 5","findcirc","NB","5","0.1","1.5","153829761"
"16","DESeq2",0.468080593849417,460,460,0.474576271186441,0.989606868504293,0.141104294478528,0.703215143309661," 6","findcirc","NB","5","0.1","1.5","257527127"
"17","voom",0,460,460,0.245652173913043,0.995769682726204,0.137404580152672,0.8537802074286," 6","findcirc","NB","5","0.1","1.5","257527127"
"18","edgeR-robust",0,460,460,0.323913043478261,0.993889541715629,0.148571428571429,0.860567874112297," 6","findcirc","NB","5","0.1","1.5","257527127"
"19","DESeq2",0.545338441890166,456,456,0.5,0.988184747583244,0.138364779874214,0.699989712317096," 7","findcirc","NB","5","0.1","1.5","138752750"
"20","voom",0,456,456,0.236842105263158,0.995992456388496,0.136,0.865105730497861," 7","findcirc","NB","5","0.1","1.5","138752750"
"21","edgeR-robust",0,456,456,0.320175438596491,0.994813767090995,0.130952380952381,0.862148409389811," 7","findcirc","NB","5","0.1","1.5","138752750"
"22","DESeq2",0.582712369597616,445,445,0.551440329218107,0.997087944088527,0.0359712230215827,0.669762808248861," 8","findcirc","NB","5","0.1","1.5","216686517"
"23","voom",0,445,445,0.258426966292135,0.99788334901223,0.0725806451612903,0.843868846914076," 8","findcirc","NB","5","0.1","1.5","216686517"
"24","edgeR-robust",0,445,445,0.307865168539326,0.997648165569144,0.0680272108843537,0.843440231695329," 8","findcirc","NB","5","0.1","1.5","216686517"
"25","DESeq2",0.40891638225256,455,455,0.506369426751592,0.991045991045991,0.121546961325967,0.729502106681412," 9","findcirc","NB","5","0.1","1.5","192932246"
"26","voom",0,455,455,0.29010989010989,0.994094023151429,0.159235668789809,0.846014958346637," 9","findcirc","NB","5","0.1","1.5","192932246"
"27","edgeR-robust",0,455,455,0.367032967032967,0.992912827781715,0.152284263959391,0.853307476836889," 9","findcirc","NB","5","0.1","1.5","192932246"
"28","DESeq2",0.370583226905066,459,459,0.406727828746177,0.996197718631179,0.0699300699300699,0.73930321256966,"10","findcirc","NB","5","0.1","1.5","104346507"
"29","voom",0,459,459,0.26797385620915,0.996933238971456,0.0955882352941176,0.846764225335753,"10","findcirc","NB","5","0.1","1.5","104346507"
"30","edgeR-robust",0,459,459,0.315904139433551,0.996461429582449,0.09375,0.853972424334471,"10","findcirc","NB","5","0.1","1.5","104346507"
"31","DESeq2",0.504702864471997,451,451,0.534296028880866,0.99656862745098,0.0451612903225806,0.702027720644973,"11","findcirc","NB","5","0.1","1.5","251704523"
"32","voom",0,451,451,0.24390243902439,0.998580553584102,0.0517241379310345,0.870060853650669,"11","findcirc","NB","5","0.1","1.5","251704523"
"33","edgeR-robust",0,451,451,0.319290465631929,0.996687958362905,0.0886075949367089,0.870746709596266,"11","findcirc","NB","5","0.1","1.5","251704523"
"34","DESeq2",0.428693790149893,452,452,0.447811447811448,0.991986503584985,0.125,0.71135189684328,"12","findcirc","NB","5","0.1","1.5","230695930"
"35","voom",0,452,452,0.27212389380531,0.996917970602181,0.0955882352941176,0.877394657116361,"12","findcirc","NB","5","0.1","1.5","230695930"
"36","edgeR-robust",0,452,452,0.311946902654867,0.995258416311048,0.124223602484472,0.871915872556302,"12","findcirc","NB","5","0.1","1.5","230695930"
"37","DESeq2",0.427777777777778,449,449,0.472312703583062,0.994095318431042,0.0880503144654088,0.728038462530511,"13","findcirc","NB","5","0.1","1.5"," 58555195"
"38","voom",0,449,449,0.269487750556793,0.995745686598913,0.129496402877698,0.86153110012586,"13","findcirc","NB","5","0.1","1.5"," 58555195"
"39","edgeR-robust",0,449,449,0.318485523385301,0.994091231387379,0.148809523809524,0.861199735329277,"13","findcirc","NB","5","0.1","1.5"," 58555195"
"40","DESeq2",0.486370465765186,445,445,0.494736842105263,0.992409867172676,0.101910828025478,0.712525396884649,"14","findcirc","NB","5","0.1","1.5","215741717"
"41","voom",0,445,445,0.247191011235955,0.997389653535833,0.0909090909090909,0.863981484937848,"14","findcirc","NB","5","0.1","1.5","215741717"
"42","edgeR-robust",0,445,445,0.314606741573034,0.995016611295681,0.130434782608696,0.867549847218743,"14","findcirc","NB","5","0.1","1.5","215741717"
