"","sim","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","sampleSize","FPR","foldEffect","method"
"1","simulation: 1_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.92,0.998444444444444,0.0149892933618844,0.998410666666667," 1","GLMM","5","0.1","1.5","GLMM"
"2","simulation: 2_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.942,0.998888888888889,0.0105042016806723,0.999421777777778," 2","GLMM","5","0.1","1.5","GLMM"
"3","simulation: 3_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.904,0.998444444444444,0.0152505446623094,0.996919333333333," 3","GLMM","5","0.1","1.5","GLMM"
"4","simulation: 4_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.922,0.998,0.0191489361702128,0.997645555555556," 4","GLMM","5","0.1","1.5","GLMM"
"5","simulation: 5_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.924,0.998666666666667,0.0128205128205128,0.998323777777778," 5","GLMM","5","0.1","1.5","GLMM"
"6","simulation: 6_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.918,0.998666666666667,0.0129032258064516,0.999194222222222," 6","GLMM","5","0.1","1.5","GLMM"
"7","simulation: 7_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.9,0.999111111111111,0.00881057268722467,0.999380666666667," 7","GLMM","5","0.1","1.5","GLMM"
"8","simulation: 8_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.9,0.999111111111111,0.00881057268722467,0.998951555555556," 8","GLMM","5","0.1","1.5","GLMM"
"9","simulation: 9_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.928,0.998666666666667,0.0127659574468085,0.998069777777778," 9","GLMM","5","0.1","1.5","GLMM"
"10","simulation:10_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.934,0.999333333333333,0.00638297872340425,0.999568888888889,"10","GLMM","5","0.1","1.5","GLMM"
"11","simulation:11_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.922,0.997777777777778,0.0212314225053079,0.999032222222222,"11","GLMM","5","0.1","1.5","GLMM"
"12","simulation:12_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.914,0.998888888888889,0.0108225108225108,0.997899333333334,"12","GLMM","5","0.1","1.5","GLMM"
"13","simulation:13_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.922,0.999111111111111,0.00860215053763441,0.997960222222222,"13","GLMM","5","0.1","1.5","GLMM"
"14","simulation:14_dataset:GLMM_sampleSize:5_FPR:0.1_foldEffect:1.5",0,500,500,0.918,0.998666666666667,0.0129032258064516,0.999158,"14","GLMM","5","0.1","1.5","GLMM"
